normalized,display,value
"177/1","177/૧ ~~","177/૧ ~~ "
"177/2","177/૨ ~~","177/૨ ~~ "
"177/3","177/૩ ~~","177/૩ ~~ "
"178/1","178/૧ ~~","178/૧ ~~ "
"179/1","179/૧ ~~","179/૧ ~~ "
"179/2","179/૨ ~~","179/૨ ~~ "
"180","180 ~~","180 ~~ "
"181","181 ~~","181 ~~ "
"182/p1","182/p૧ ~~","182/p૧ ~~ "
"182/p2","182/p૨ ~~","182/p૨ ~~ "
"183","183 ~~","183 ~~ "
"184/1","184/૧ ~~","184/૧ ~~ "
"184/2","184/૨ ~~","184/૨ ~~ "
"185/1","185/૧ ~~","185/૧ ~~ "
"185/2","185/૨ ~~","185/૨ ~~ "
"185/3","185/૩ ~~","185/૩ ~~ "
"185/4","185/૪ ~~","185/૪ ~~ "
"186/1","186/૧ ~~","186/૧ ~~ "
"186/2","186/૨ ~~","186/૨ ~~ "
"187/1","187/૧ ~~","187/૧ ~~ "
"187/2","187/૨ ~~","187/૨ ~~ "
"187/3","187/૩ ~~","187/૩ ~~ "
"187/4","187/૪ ~~","187/૪ ~~ "
"187/p","187/પ ~~","187/પ ~~ "
"188/1","188/૧ ~~","188/૧ ~~ "
"188/2","188/૨ ~~","188/૨ ~~ "
"188/3","188/૩ ~~","188/૩ ~~ "
"188/4","188/૪ ~~","188/૪ ~~ "
"188/p","188/પ ~~","188/પ ~~ "
"189/1","189/૧ ~~","189/૧ ~~ "
"189/2","189/૨ ~~","189/૨ ~~ "
"190/1","190/૧ ~~","190/૧ ~~ "
"190/2","190/૨ ~~","190/૨ ~~ "
"190/3","190/૩ ~~","190/૩ ~~ "
"190/4","190/૪ ~~","190/૪ ~~ "
"190/6","190/૬ ~~","190/૬ ~~ "
"190/p","190/પ ~~","190/પ ~~ "
"191/1","191/૧ ~~","191/૧ ~~ "
"191/2","191/૨ ~~","191/૨ ~~ "
"191/3/p","191/૩/p ~~","191/૩/p ~~ "
"191/4","191/૪ ~~","191/૪ ~~ "
"192/1અ","192/૧અ ~~","192/૧અ ~~ "
"192/2/p","192/૨/p ~~","192/૨/p ~~ "
"192/2અ+1બ","192/૨અ+૧બ ~~","192/૨અ+૧બ ~~ "
"193/1","193/૧ ~~","193/૧ ~~ "
"193/2","193/૨ ~~","193/૨ ~~ "
"194/1","194/૧ ~~","194/૧ ~~ "
"194/2","194/૨ ~~","194/૨ ~~ "
"195","195 ~~","195 ~~ "
"196/1","196/૧ ~~","196/૧ ~~ "
"196/2","196/૨ ~~","196/૨ ~~ "
"196/3/p","196/૩/p ~~","196/૩/p ~~ "
"196/4/p","196/૪/p ~~","196/૪/p ~~ "
"196/p","196/પ ~~","196/પ ~~ "
"197/1/p1","197/૧/p૧ ~~","197/૧/p૧ ~~ "
"197/1/p2","197/૧/p૨ ~~","197/૧/p૨ ~~ "
"197/1/p3","197/૧/p૩ ~~","197/૧/p૩ ~~ "
"197/1/p4","197/૧/p૪ ~~","197/૧/p૪ ~~ "
"197/1/pp","197/૧/pપ ~~","197/૧/pપ ~~ "
"197/2/p1","197/૨/p૧ ~~","197/૨/p૧ ~~ "
"197/2/p2","197/૨/p૨ ~~","197/૨/p૨ ~~ "
"197/3","197/૩ ~~","197/૩ ~~ "
"197/4","197/૪ ~~","197/૪ ~~ "
"198/1","198/૧ ~~","198/૧ ~~ "
"198/2","198/૨ ~~","198/૨ ~~ "
"198/3","198/૩ ~~","198/૩ ~~ "
"199","199 ~~","199 ~~ "
"200/p1","200/p૧ ~~","200/p૧ ~~ "
"200/p2","200/p૨ ~~","200/p૨ ~~ "
"200/p3","200/p૩ ~~","200/p૩ ~~ "
"201/1","201/૧ ~~","201/૧ ~~ "
"201/2","201/૨ ~~","201/૨ ~~ "
"201/3","201/૩ ~~","201/૩ ~~ "
"201/4","201/૪ ~~","201/૪ ~~ "
"202/1","202/૧ ~~","202/૧ ~~ "
"202/2","202/૨ ~~","202/૨ ~~ "
"202/3","202/૩ ~~","202/૩ ~~ "
"203/1","203/૧ ~~","203/૧ ~~ "
"203/p1","203/p૧ ~~","203/p૧ ~~ "
"203/p2","203/p૨ ~~","203/p૨ ~~ "
"203/p3","203/p૩ ~~","203/p૩ ~~ "
"203/p4","203/p૪ ~~","203/p૪ ~~ "
"203/pp","203/pપ ~~","203/pપ ~~ "
"204","204 ~~","204 ~~ "
"205","205 ~~","205 ~~ "
"206/1","206/૧ ~~","206/૧ ~~ "
"206/2","206/૨ ~~","206/૨ ~~ "
"207/1","207/૧ ~~","207/૧ ~~ "
"207/1/p","207/૧/p ~~","207/૧/p ~~ "
"207/2","207/૨ ~~","207/૨ ~~ "
"208","208 ~~","208 ~~ "
"209","209 ~~","209 ~~ "
"210","210 ~~","210 ~~ "
"211/p1","211/p૧ ~~","211/p૧ ~~ "
"211/p2","211/p૨ ~~","211/p૨ ~~ "
"212","212 ~~","212 ~~ "
"213/1/p3","213/૧/p૩ ~~","213/૧/p૩ ~~ "
"213/1p","213/૧p ~~","213/૧p ~~ "
"213/1p2","213/૧p૨ ~~","213/૧p૨ ~~ "
"213/2","213/૨ ~~","213/૨ ~~ "
"213/3","213/૩ ~~","213/૩ ~~ "
"213/4","213/૪ ~~","213/૪ ~~ "
"213/6","213/૬ ~~","213/૬ ~~ "
"213/p/અબ","213/પ/અબ ~~","213/પ/અબ ~~ "
"214/1","214/૧ ~~","214/૧ ~~ "
"214/2","214/૨ ~~","214/૨ ~~ "
"215","215 ~~","215 ~~ "
"216","216 ~~","216 ~~ "
"217","217 ~~","217 ~~ "
"218/1","218/૧ ~~","218/૧ ~~ "
"218/2","218/૨ ~~","218/૨ ~~ "
"218/3","218/૩ ~~","218/૩ ~~ "
"219/1/p","219/૧/p ~~","219/૧/p ~~ "
"219/2","219/૨ ~~","219/૨ ~~ "
"220/1/p","220/૧/p ~~","220/૧/p ~~ "
"220/2/p","220/૨/p ~~","220/૨/p ~~ "
"220/3","220/૩ ~~","220/૩ ~~ "
"220/4","220/૪ ~~","220/૪ ~~ "
"220/6/1","220/૬/૧ ~~","220/૬/૧ ~~ "
"220/6/2","220/૬/૨ ~~","220/૬/૨ ~~ "
"220/7","220/૭ ~~","220/૭ ~~ "
"220/p","220/પ ~~","220/પ ~~ "
"221/p","221/p ~~","221/p ~~ "
"222/1","222/૧ ~~","222/૧ ~~ "
"222/2/p","222/૨/p ~~","222/૨/p ~~ "
